宸纶,1.帝王的诏书﹑制令。
妙手,①技艺高超的人绝代妙┦郑杏林妙手。②神奇的手段妙手回春的一代名医。
妙书,1.精美的字迹。
妙术,"1.神妙﹑精湛的技术。 
2.高明的策略﹑方法。"
妙瞬,1.谓美目流波。
妙说,1.意旨精微的言论。
妙思,1.精妙的构思。
妙速,1.谓才思敏捷。
妙算,神妙的算计神机妙算。
妙态,1.美妙的姿态。
妙土,"1.犹净土。佛家谓清净﹑安乐﹑胜妙之境界。 
2.指宜于建寺弘法之处。"
妙微,1.犹精妙。
妙味,"1.美好的品质。 
2.佳美的滋味。"
妙舞,1.美妙之舞。
妙物,"1.神妙莫测之物。指创造万物之神。 
2.指其所创造之物。 
3.犹妙才。指具有特异禀赋的人。"
妙悟,1.犹言神悟。
妙喜,1.佛教语。东方佛国名，佛名阿閦。
妙戏,1.美妙的表演。
妙相,"1.佛教语。庄严的相貌。 
2.美丽的景象。"
妙香,"1.佛教谓殊妙的香气。 
2.特指美妙的花香。"
妙响,1.美妙的声音(多指音乐)。
妙象,"1.见""妙像""。"
妙像,"1.亦作""妙象""。 
2.微妙的景象。 
3.庄严之像。佛教多用以称佛像。"
妙肖,1.谓刻画﹑描摹既好又象。
妙绪,"1.指前代好传统。 
2.精妙的思绪﹑思想。"
妙选,1.精心挑选。
妙言,"1.微妙不易理解的言论。 
2.动听的言语。"
妙言要道,1.精到的言论，中肯的道理。
妙颜,1.美好的容颜，美色。
妙演,1.精妙的阐述。
妙仪,1.高妙的法度。
妙义,1.微妙的义理。
妙艺,1.高超神奇的技艺。
妙异,1.美妙奇异。
妙意,1.灵妙的意想，灵感。
妙音,"1.指歌妓。 
2.指美妙的乐音。"
妙引,"1.佳美的文辞。 
2.美妙的乐曲。"
妙英,1.美丽的花朵。
妙用,1.神妙的作用。
妙有,"1.道家指超乎""有""和""无""以上的原始存在。 
2.佛教指非有之有。与非空之空的""真空""相对。"
妙语,1.词美意深而富于情趣的言语。
妙远,"1.深远。妙，通""眇""。"
妙择,1.精心选择。
妙珍,1.精妙的珍品。
妙旨,"1.精微幽深的旨意。 
2.好的意见，计谋。"
妙指,1.犹妙旨。
妙质,1.美的资质﹑才德。
妙竹,1.指能奏出动听乐声的竹制乐器。
妙啭,1.指美妙婉转的歌喉。
妙着,"1.见""妙着""。"
妙斲,1.精妙的刀斧工。泛指功力精深的技能。
妙姿,1.美好的姿色。
妙足,1.指骏马。
庙碑,1.宗庙﹑祠庙中立的石碑。亦指刻于庙碑上的记述死者功德的文字。
庙策,1.指朝廷的谋略。
庙朝,"1.宗庙和朝廷。 
2.专指朝廷。君主听政的地方。 
3.专指朝廷。以君主为首的中央政府。"
庙祠,"1.祭于宗庙。 
2.庙宇和祠堂。"
庙殿,1.指太庙的殿堂。
庙攻,1.用朝廷制订的策略制胜敌人。
庙官,1.管理道教庙宇的道官。
庙户,1.监守太庙的民户。
庙画,1.朝廷的谋划。
庙会,中国城乡在寺庙节日或规定日期举办的集市形式。一般设在寺庙内或其附近地段。以交易日常生活用品和农副产品为主，并配以各种文艺表演和风味小吃。
庙讳,1.封建时代称皇帝父祖的名讳。
庙见,"1.古代嗣君即位或封建诸王必拜谒祖庙，谓之""庙见""。 
2.古婚礼，妇入夫家，若公婆已故，则于三月后至家庙参拜公婆神位，称为""庙见""。 
3.称新妇首次拜谒祖庙为庙见。"
庙廊,"1.朝廷。指以君王为首的中央政府。 
2.朝廷。借指天子。太庙两廊。"
庙乐,1.宗庙音乐。多用于祭祀或颂德。
庙律,1.朝廷的法制。
庙略,1.朝廷的谋略。
庙论,1.朝廷对政事的议论。
庙貌,"1.《诗．周颂．清庙序》郑玄笺""庙之言貌也，死者精神不可得而见，但以生时之居，立宫室象貌为之耳。""因称庙宇及神像为庙貌。"
庙门,"1.宗庙﹑寺庙的门。 
2.特指殡宫的门。"
庙谟,1.犹庙谋。
庙谋,1.犹庙算。
庙庖,1.宗庙中的厨房。
庙屏,1.宗庙的屏蔽。
庙器,1.宗庙的祭器。
庙寝,1.寝庙。指宗庙的前庙和后寝。
庙瑟音,"1.语出《礼记．乐记》""《清庙》之瑟，朱弦而疏越，壹倡而三叹，有遗音者矣。""孔颖达疏""《清庙》之瑟，谓歌《清庙》之诗所弹之瑟……弦声既浊，瑟音又迟，是质素之声，非要妙之响。""后用以喻质朴而可施于教化的音乐。"
庙社,"1.宗庙和社稷。 
2.以喻国家。"
庙牲,1.宗庙祭祀用的牲畜。
庙胜,1.指朝廷预先制定的克敌制胜的谋略。
庙祏,1.宗庙中藏神主的石匣。亦借指祖宗神灵。
庙食,1.谓死后立庙，受人奉祀，享受祭飨。
庙市,1.设在寺庙内或其附近的集市。
庙室,1.指宗庙内安置神主之石室。
庙祀,"1.即太祝。为汉代太常属官。 
2.立庙奉祀。"
庙颂,1.赞颂天子功德的宗庙乐歌。
庙筭,"1.见""庙算""。"
庙算,"1.亦作""庙筭""。 
2.朝廷或帝王对战事进行的谋划。"
庙堂,太庙的明堂。古代帝王祭祀、议事的地方。借指朝廷居庙堂之高，则忧其民。
庙堂碑,"1.即《孔子庙堂碑》。立于唐贞观初，虞世南撰并书，记述唐武德九年封孔子二十三世孙孔德伦为""褒圣侯""及修葺孔庙等事，书法俊朗圆腴，内刚外柔，为唐楷典范作品之一。不久碑随庙毁。武后长安三年重刻，相王李旦篆额，冠以""大周""二字，大中四年琢去，后佚。宋初王彦超重刻，今存西安碑林，俗称""西庙堂碑""。山东城武亦存一石，元刻，称""东庙堂碑""。东瘦西肥，字亦互有出入。参阅《金石粹编》卷四一。"
庙堂文学,1.指古代专用于朝会﹑祭祀﹑宴飨的颂诗乐歌。亦泛指为统治阶级歌功颂德的文学作品。
庙田,1.旧时寺﹑庙﹑庵﹑观占有的土地。主要由官府拨给和信徒捐献。庙田大都出租或雇工经营，所得用于祭祀和供养僧尼﹑道士或管庙人员。
庙祧,1.泛指祖庙。
庙廷,"1.宗庙或庙宇的前殿。 
2.君王接受朝见﹑议论政事的殿堂。"
庙庭,"1.朝堂;朝廷。 
2.宗庙;神庙。"
庙卫,1.指寺塔。
庙幄,1.指朝廷。
庙祫,1.古时天子诸侯宗庙祭礼之一。集合远近祖先神主于太庙合祭。
庙象,"1.见""庙像""。"
庙像,"1.亦作""庙象""。 
2.庙中神像。"
庙穴,1.塔中置放僧人遗骨的墓穴。
庙学,1.旧指设于孔庙内的学校。
庙议,"1.关于宗庙礼制的议论。 
2.朝廷的谋议。"
庙宇,寺庙高大的庙宇。
庙院,"1.指名门望族世有官祭的宗祠。 
2.寺院。"
庙战,1.朝廷对于战事的筹划和决策。
庙主,"1.宗庙中的牌位。 
2.寺庙的住持。"
庙祝,1.庙宇中管香火的人。
庙濯,"1.即庙祧。濯，通""祧""。"
竗竗,1.填塞充满貌。
竗灭,1.淤塞;湮没。
竗然,1.充盈貌。
竗e,1.声音舒缓貌。
乜呆呆,1.痴呆貌。
乜噑,1.方言。什么事。
乜乜些些,"1.装痴作呆。 
2.犹言眉来眼去。 
3.朦朦胧胧，昏昏沉沉。"
乜乜斜斜,"1.见""乜乜些些""。"
乜乜踅踅,"1.同""乜乜些些""。"
乜嬉,1.眼略眯斜视。
乜些,1.语尾助词。
乜邪,"1.见""乜斜""。"
乜斜,"1.亦作""乜邪""。 
2.眼睛眯成一条缝。 
3.眯着眼睛斜视。 
4.朦胧。 
5.走路踉跄跌冲貌。 6.糊涂虫;痴呆。 7.萎靡;胆怯。"
乜斜缠帐,1.假作痴呆，纠缠不休。
鲁砚,1.用山东所产砚石制成的砚。山东，古鲁地。石质嫩润，坚而不顽，细而不滑，色泽纹采各具特色。
鲁阳,"1.指鲁阳公。战国时楚鲁阳邑公，传说为挥戈使太阳返回的英雄。 
2.古地名。今河南省鲁山县。 
3.复姓。春秋楚公族有鲁阳氏。见汉王符《潜夫论．志姓氏》。"
鲁阳戈,"1.《淮南子．览冥训》""鲁阳公与韩构难，战酣日暮，援戈而撝之，日为之反三舍。""后以""鲁阳戈""谓力挽危局的手段或力量。"
鲁阳挥戈,"1.《淮南子．览冥训》""鲁阳公与韩构难，战酣日暮，援戈而撝之，日为之反三舍。""后以""鲁阳挥戈""﹑""鲁阳回日""谓力挽危局。"
鲁阳挥日,"1.同""鲁阳挥戈""。"
鲁阳麾戈,"1.同""鲁阳挥戈""。"
鲁阳回日,"1.见""鲁阳挥戈""。"
鲁阳指日,"1.同""鲁阳挥戈""。"
鲁阳子,"1.见""鲁阳""。"
鲁义姑,"1.据汉刘向《列女传．鲁义姑娣》载，春秋时齐攻鲁，至郊，见一妇人抱子携侄而行，军且及，妇人弃子抱侄而走，被视为义举◇以""鲁义姑""泛指秉德好义的妇女。"
鲁鱼,"1.""鲁""""鱼""两字相混。指抄写刊印中的文字讹误。"
鲁鱼亥豕,鲁”与鱼”、亥”与c032！钡淖文字形相近，容易引起抄写错误。因用以指书籍传写刊印中的文字错误。
鲁鱼陶阴,"1.""鲁""和""鱼""﹑""陶""和""阴""字形相近易混。指传抄刊印中的文字错误。"
鲁语,"1.宋时蜀人用以称中原语音。 
2.指《论语》。"
鲁哲,1.指孔子。
鲁卮,1.即欹器。
鲁质,1.粗放，质朴。
鲁雉,"1.典出《后汉书．鲁恭传》""﹝鲁恭﹞拜中牟令。恭专以德化为理，不任刑罚……建初七年，郡国螟伤稼，犬牙缘界，不入中牟∮南尹袁安闻之，疑其不实，使仁恕掾肥亲往廉之。恭随行阡陌，俱坐桑下，有雉过，止其傍。傍有童儿，亲曰'儿何不捕之?'儿言'雉方将雏'亲瞿然而起，与恭诀曰'所以来者，欲察君之政迹耳。今虫不犯境，此一异也;化及鸟兽，此二异也;竖子有仁心，此三异也。久留，徒扰贤者耳。'还府，具以状白安。""后以""鲁雉""谓地方官吏施行仁政，犹如鲁恭化及田雉。"
鲁中叟,1.指孔子。
鲁拙,1.质朴粗疏。
鲁斫,1.锄名。
橹罟子,1.果名。波罗蜜的一种。
橹轮,1.蒙以皮甲的高大车轮。
橹艩,1.船上用以承橹的部位。
橹榡,1.大盾。
橹子,1.方言。手枪。
磠砂,"1.即""硇砂""。"
甪端,1.传说中的神兽名。
甪里,"1.古地名。在今江苏吴县西南。 
2.复姓。东汉有甪里若叔。见《续通志．氏族八》。"
甪里先生,"1.汉初隐士。商山四皓之一。《汉书．张良传》""顾上有所不能致者四人""唐颜师古注""四人，谓园公﹑绮里季﹑夏黄公﹑甪里先生，所谓商山四皓也。""明胡侍《真珠船．古人名字人少知者》""甪里先生姓周，名术，字元道。""按，《史记．留侯世家》唐司马贞索隐作""角里先生""。"
陆标,1.路标。
陆兵,1.犹陆军。
陆博,1.即六博。古代的一种博戏。共十二棋﹐六黑六白﹐两人相博﹐每人六棋。
陆产,1.陆地出产之物品。
陆钞,1.从陆路抄掠。
陆沉,也作陆沈”。①比喻隐居或埋没不为人知陆沉于俗，避世金马门｜岂有吾子终陆沉。②比喻国土沦丧莽莽神州叹陆沉。③比喻昏聩愚昧。
陆程,1.陆路。
陆池莲,"1.南朝梁任昿《述异记》卷上﹕""越中有王氏之橘园……吴中有陆家白莲﹐顾家斑竹。""后因以""陆池莲""泛指莲花。"
陆驰,1.陆路运输。
陆处,1.居处陆上。
陆船,1.犹今北方之旱船﹐南方之荡湖船。供游乐之用。
陆次,1.驻扎于陆上。
陆大夫,1.指汉陆贾。贾为太中大夫﹐故称。
陆道,1.陆上的道路。
陆稻,1.种在旱地里的稻。抗旱能力比水稻强。也叫旱稻﹑旱禾。
陆地,地球表面出露于海面以上的部分。按面积大小分别称为大陆和岛屿。最小的大陆是澳大利亚大陆，最大的岛屿是格棱兰岛。
陆地莲,1.指莲花灯。
陆地神仙,1.指隐士之类。
陆弟,1.指陆机之弟陆云。
陆海,"1.物产富饶之地。 
2.南朝梁锺嵘对晋代文学家陆机有""陆才如海""之赞语。见《诗品》卷上◇因以""陆海""比喻富于文才。 
3.借指陆机﹐以喻称富于文才的人。"
陆海潘江,南朝梁钟嵘《诗品》卷上载陆机和潘岳均是晋代大文学家。陆机的文才如海，潘岳的文才如江◇用陆海潘江”比喻文才杰出的人。
陆皓东(1867-1895),近代民主革命者。广东香山(今中山)人。1895年与孙中山组织香港兴中会机关，参与策划广州起义，并绘制青天白日旗为军旗。事败被捕遇害。
陆浑,"1.古地名。也称瓜州﹐原指今甘肃敦煌一带。春秋时秦晋二国使居于其地之""允姓之戎""迁居伊川﹐以陆浑名之『置县。五代废。故城在今河南省嵩县东北。"
陆浑山,1.山名。在河南洛阳。
陆机(261-303),西晋文学家。字士衡，吴郡华亭(今上海松江)人。祖父和父亲均为三国吴名将。与弟陆云被称为二陆”。曾任平原内史，后为成都王司马颖将军，兵败被谗杀。与潘岳齐名。有《赴洛道中作》等名篇，又有赋体文论《文赋》。明人辑有《陆平原集》。
陆机莼,"1.南朝宋刘义庆《世说新语．言语》﹕""陆机诣王武子﹐武子前置数斛羊酪﹐指以示陆曰﹕'卿江东何以敌此?'陆云﹕'有千里莼羹﹐但未下盐豉耳。'""后因以""陆机莼""借指家乡特产。"
陆机雾,"1.《晋书．陆机传》﹕""机既死非其罪﹐士卒痛之﹐莫不流涕。是日昏雾昼合﹐大风折木﹐平地尺雪﹐议者以为陆氏之寃。""后因以""陆机雾""为蒙冤而死之典。"
陆绩怀橘,1.元郭居业《二十四孝》所记孝子事迹之一。
陆绩橘,1.谓孝敬父母的礼物。
陆家老屋,1.陆机兄弟入洛后﹐住参佐廨中﹐三间瓦屋﹐士龙住东头﹐士衡住西头。事见南朝宋刘义庆《世说新语．赏誉下》。
陆贾分金,"1.《史记．郦生陆贾列传》载孝惠帝时﹐吕太后用事﹐欲王诸吕﹐陆生自度不能争之﹐乃病免家居。出所使越得橐中装卖千金﹐分其子﹐子二百金﹐令为生产◇因以""陆贾分金""谓休官后平分家产与子孙以为生计。"
陆贾分橐,"1.同""陆贾分金""。"
陆贾舌,1.汉陆贾善辩﹐故称。
陆径,1.陆路﹐陆地。
陆九渊(1139-1193),南宋哲学家。字子静，人称象山先生，抚州金溪(今属江西)人。为心学”创始人。以心”为构成宇宙万物的本源。认为宇宙便是吾心，吾心即是宇宙。其学说由明代王守仁继承发展，世称陆王心学”。著作编为《象山先生全集》。
陆居,1.居处陆上。
陆浚仪,1.指晋陆云。陆云出补浚仪令﹐故称。
陆凯传情,"1.《太平御览》卷九七○引南朝宋盛弘之《荆州记》﹕""陆凯与范晔相善﹐自江南寄梅花一枝诣长安与晔﹐并赠花诗'折花逢驿使﹐寄与陇头人。江南无所有﹐聊赠一枝春。'""后因以""陆凯传情""为咏梅之典。"
陆凯贵盛,"1.南朝宋刘义庆《世说新语．规箴》﹕""孙皓问丞相陆凯曰﹕'卿一宗在朝有几人?'陆曰﹕'二相﹑五侯﹑将军十余人。'皓曰﹕'盛哉！'陆曰﹕'君贤臣忠﹐国之盛也。父慈子孝﹐家之盛也。今政荒民弊﹐覆亡是惧﹐臣何敢言盛！'""后因以""陆凯贵盛""为在朝贵盛之典。"
陆抗尝药,"1.晋羊祜与吴陆抗相对。抗曾病﹐祜馈之药﹐抗服之无疑心。人多谏抗﹐抗曰﹕""羊祜岂鴆人者！""时谈以为华元﹑子反复见于今日。事见《晋书．羊祜传》◇用以为典。"
陆郎,1.指南朝陈后主宠臣陆瑜。
陆离,①色彩繁杂绚丽光怪陆离｜陆离斑驳。②长的样子带长铗之陆离兮。③分散的样子毛群陆离，羽族纷泊。
陆离斑驳,1.形容色彩绚丽灿烂。
陆离光怪,1.形容现象奇异﹐色彩繁杂。
陆丽,1.长剑低昂貌。
陆梁,①跳跃奔走的样子陆梁进退，与天命争衡。②嚣张，跋扈。
陆陵,1.高平之地。
陆陆,"1.犹碌碌。无所作为貌。 
2.象声词。"
陆路,1.旱路﹔陆地通行的道路。对水路而言。
陆掠,1.犹掳掠。
陆落,1.沉沦﹔不得志。
陆马庙,1.三国吴陆绩﹐曾任郁林太守﹔东汉马援﹐曾南征郁林◇土人立陆马庙以祀二人。庙在广西容县西北大容山南麓。
陆麦,1.早种的麦。
陆门,1.陆地上的城门。对水城门而言。
陆溺,1.谓陆地沉陷。
陆藕,"1.南朝梁任昿《述异记》卷上﹕""越中有王氏之橘园﹐胡氏之梅山﹐贺氏之瓜丘。吴中有陆家白莲﹐顾家斑竹。""后以""陆藕""泛指洁白的莲花。"
陆皮,1.晩唐诗人陆龟蒙和皮日休的并称。
陆衢,1.陆上通道。
陆荣廷(1859-1928),桂系军阀。广西武鸣人。壮族。曾任清军管带，镇压孙中山领导的镇南关起义，后升至广西提督。辛亥革命时，攫取广西都督职位，捕杀革命党人。护国战争时，派兵攻占广东，自任广东督军，成为桂系军阀首领。1917年参加护法军政府，排挤孙中山。1920年被粤军击败，退回广西。
陆沈,"1.见""陆沉""。"
陆生画,1.指南朝齐陆探微在镇江甘露寺壁上所画《狻猊戏图》。
陆师,1.犹陆军。
陆氏橘,"1.《三国志．吴志．陆绩传》﹕""绩年六岁﹐于九江见袁术。术出橘﹐绩怀三枚﹐去﹐拜辞堕地﹐术谓曰﹕'陆郎作宾客而怀橘乎?'绩跪答曰﹕'欲归遗母。'术大奇之。""后因以""陆氏橘""为怀以遗母之物﹐作为孝亲之典。"
陆氏庄荒,"1.唐李冗《独异志》卷下﹕""唐崔群为相﹐清名甚重。元和中﹐自中书舍人知贡举。既罢﹐夫人李氏因暇日常劝其树庄田以为子孙之计。笑答曰﹕'余有三十所美庄良田遍天下﹐夫人复何忧?'夫人曰﹕'不闻君有此业。'羣曰﹕'吾前岁放春榜三十人﹐岂非良田耶?'夫人曰﹕'若然者﹐君非陆相门生乎?然往年君掌文柄﹐使人约其子简礼﹐不令就春闱之试。如君以为良田﹐则陆氏一庄荒矣。'群惭而退﹐累日不食。""后遂以""陆氏庄荒""为在科举考试方面杜绝行私请托之典。"
陆疏,1.指三国吴陆玑的《毛诗草木鸟兽虫鱼疏》。
陆输,1.陆地运送。
陆死骨,"1.《文选．木华》﹕""鱼则横海之鲸……陆死盐田﹐巨鳞插云﹐鬵鬣刺天﹐颅骨成岳﹐流膏为渊。""李善注﹕""魏武《四时食制》曰﹕东海有鱼如山﹐长五﹑六里﹐谓之鲵﹐时死岸上﹐膏流九顷。""后因以""陆死骨""比喻积雪之状。"
陆田,"1.旱田。与""水田""相对而言。"
陆通,"1.春秋楚人﹐字接舆。昭王时﹐政令无常﹐乃佯狂不仕。时人称为楚狂。 
2.道路通达平坦。"
陆通歌凤,"1.《论语．微子》﹕""楚狂接舆歌而过孔子曰﹕'凤兮凤兮！何德之衰?往者不可谏﹐来者犹可追。已而﹐已而！今之从政者殆而！'""后遂以""陆通歌凤""为避世隐居的典故。"
陆涂,1.陆路﹔旱道。
陆土,1.陆地。
陆玩无人,"1.《世说新语．规箴》""陆玩拜司空""刘孝标注引《陆玩别传》﹕""是时王导﹑郗鉴﹑庾亮相继薨殂﹐朝野忧惧﹐以玩德望﹐乃拜司空。玩辞让不获﹐乃叹息谓朋友曰﹕'以我为三公﹐是天下无人矣。'""后因以""陆玩无人""谓居高位有雅量的典故。"
陆挽,"1.见""陆挽""。"
陆王,1.古代理学家宋陆九渊﹑明王守仁的并称。
陆味,1.陆上产的食物。
陆文夫(1928- ),作家。江苏泰兴人。曾任新闻记者。1985年起专事创作，并任中国作协副主席。著有短篇小说集《荣誉》、《小巷人物志》，中篇小说《美食家》，长篇小说《有人敲门》等。
陆吾,1.传说中的昆仑山神名。即肩吾。人面虎身虎爪而九尾。
陆谢,1.晋陆机和南朝宋谢灵运的并称。
陆秀夫(1236-1279),南宋大臣。字君实，楚州盐城(今属江苏)人。进士出身。初为名将李庭芝幕僚◇为礼部侍郎。临安(今浙江杭州)陷落后，他退至温州，不久在福州拥赵fe63Ｎ帝，继续抗元。赵fe63Ｋ溃又和张世杰等立赵fe64Ｎ帝，自任左丞相，在fe65Ｉ(今广东新会南)坚持抵抗。fe65Ｉ奖还テ疲他背负小皇帝赵fe64Ｌ海而死。
陆畜,1.陆地所产的禽畜。
陆逊(183-245),三国吴大将。字伯言，吴郡华亭(今上海松江)人。孙策婿。出身江南士族。善谋略，曾与吕蒙定计袭取关羽。公元222年，刘备攻吴，他任大都督，坚守不战逾半年，待蜀军疲惫，用火攻取得夷陵之战的胜利◇任荆州牧，镇守武昌(今湖北鄂州东北)，官至丞相。
陆盐,1.陆地所产的盐﹐岩盐。
陆业,1.指陆地种植之业。
陆叶,1.平地上的草木。
陆夷,1.高山和平地。
陆营,1.犹陆军。
陆羽茶,"1.唐隐逸陆羽﹐着有《茶经》﹐民间祀为茶神◇因称茶为""陆羽茶""。"
陆羽井,"1.见""陆羽泉""。"
陆羽泉,"1.相传陆羽见虎丘山泉清冽甘甜﹐嘱人于虎丘""千人石""西挖泉井一眼◇人称之为""陆羽泉""﹑""陆羽井""。"
陆缘冰,又称冰架”、冰棚”或冰障”。大陆冰川向海洋伸展，其漂在海上的冰体。陆缘冰断裂后入海，即形成冰山。最著名的是南极大陆外围的罗斯冰架(陆缘冰)。
陆云家鹤,"1.南朝宋刘义庆《世说新语．尤悔》﹕""陆平原河桥败﹐为卢志所谗﹐被诛。临刑叹曰﹕'欲闻华亭鹤唳﹐可复得乎！'""后因以""陆云家鹤""为咏鹤之典。"
陆云癖,"1.晋陆云有笑癖◇世以爱笑谓""陆云癖""。"
陆运,1.陆路上的运输。
陆泽,1.润泽陆地的水源。
陆战,1.谓于陆上作战。
陆詟水栗,1.谓声威远播﹐四方畏服。
陆珍,1.陆地上珍奇的物品。
陆种,1.谓种植旱地作物。
陆轴,1.即碌碡。俗名石磙。
陆注,1.即内陆河。
陆子泉,1.指江苏无锡惠山天下第二泉。因经唐茶圣陆羽品第而得名。
陆走,1.奔走于陆路。
陆作,1.谓耕种旱地。
侓魁,1.大貌。
彔彔,1.一个一个可计数的样子。
录曲,1.玲珑曲折貌。
录蔌,1.象声词。
录像机,记录和重放图像和音响的装置。分磁性录像机和激光录像机两类。通常指磁性录像机。通过多个磁头将声音和图像对应的电信号录制在磁带上，重放时将磁带上信息恢复为图像和音响。家用录像机常用来对录磁带信息，或直录电视节目。
录音,又称录声”。使声音通过传声器、放大器转换为电信号，用不同的材料和工艺记录下来的过程。录音方法分为机械录音(唱片录音)、磁性录音、光学录音等。随着激光技术的发展，出现了激光录音法，提高了录音的音质。
录音机,录制语音和音乐的装置。声波通过传声器转变为电信号，再进一步转换为磁场、机械位移或光的变化，并记录在相应录音材料上。
赂地,1.赠送的土地。
赂贿,"1.谓用财物买通别人。 
2.用来买通别人的财物。"
赂结,1.以行贿而结交。
赂买,1.行贿买通。
赂门,1.行贿的途径。
赂器,1.指受贿得来的器物。
赂权,1.以贿赂巴结权势。
赂田,1.赠送的田。
赂息,1.谓行贿以求息事。
赂献,1.贿赂献赠的财物。
赂谢,1.酬谢﹑贿赠的财物。
赂遗,"1.以财物赠送或买通他人。 
2.赠送或买通他人的财物。"
赂赠,1.行贿。
辂车,1.天子的乘车。
辂客,1.使者。
辂木,1.谓驾无饰之马。
辂挽,1.牵挽车子的横木。
辂輈,1.汉代厩名。
娽娽,"1.随从貌。 
2.平庸。"
论谕,1.特指太平天国后期洪秀全之三子光王﹑四子明王之世子所发布的文告。
论载,1.论说和记载。
论赞,"1.附在史传后面的评语。司马迁《史记》称""太史公曰""﹐班固《汉书》﹑范晔《后汉书》皆称""赞""﹐荀悦《汉纪》称""论""﹐陈寿《三国志》称""评""﹐谢承《后汉书》称""诠""﹐其他或称""议""﹐或称""述""﹐名称不一。"
论斩,1.判处斩首。
论战,"1.谈论战事。 
2.在政治上﹑学术上因意见不同而争论。"
论争,"1.亦作""论诤""。 
2.争辩﹔论战。"
论证,证明中从论据到论题的推演。通过推理形式进行，有时是一系列推理形式。因此，论证必须遵守推理的规则。
论诤,"1.见""论争""。"
论政,1.议论政事。
论执,1.发表和坚持自己的意见。
论旨,1.议论的旨趣﹔论题的主旨。
论治,1.讨论研究治国之道。
论质,1.论难质疑。
论主,1.某种学说的倡导者。
论著,"1.亦作""论箸""。 
2.论议和著述。 
3.带有研究性的著作。"
论箸,"1.见""论著""。"
论撰,"1.亦作""论撰""。 
2.论说叙录。 
3.论着﹔著作。"
论籱,1.论着。
论奏,1.指官吏上奏﹐论述自己意见。
论纂,1.论撰。
论最,1.犹课最﹐论功。
论罪,1.定罪。
论坐,1.连坐论罪。
捋虎须,"1.《三国志．吴志．朱桓传》""臣疾当自愈""裴松之注引晋张勃《吴录》""桓奉觞曰'臣当远去，愿一捋陛下须，无所复恨。'权冯几前席﹐桓进前捋须曰'臣今日真可谓捋虎须也。'权大笑。""后因以""捋虎须""喻撩拨强有力者，谓冒风险。"
捋荼,"1.《诗．豳风．鸱鸮》""予手拮据，予所捋荼;予所蓄租，予口卒瘏。""孔颖达疏""予手口尽病，乃得成此室巢。""后以""捋荼""喻辛苦劳碌。"
捋须,"1.见""捋虎须""。 
2.抚摩自己的胡须。常谓显示豪迈之气。"
捋须钱,1.南唐张崇敲诈人民的名目之一。
捋髭钱,"1.见""捋须钱""。"
頱顂,1.面貌丑陋。
罗谤,1.谓罗织罪名进行诋毁。
罗绷,1.丝罗襁褓。
罗毕,1.用网捕鸟。毕﹐古代田猎用的长柄网。
罗捕,搜索捕捉罗捕老鼠。
罗布,"1.罗列分布。 
2.俄国和苏联货币卢布的旧译。"
罗布泊,原为新疆塔里木盆地东部大湖，塔里木河尾闾。1952年塔里木河改道南流，靠孔雀河余水补给。1958年后孔雀河水大量用于灌溉，下游于1960年断流，其后湖泊干涸。
罗布麻,1.夹竹桃科。多年生草本植物。全草及叶入药。有降压清火﹐强心利尿之效。可治高血压﹑神经衰弱﹑肝炎﹑肾炎等症。纤维可做高级纺织原料。华北和新疆维吾尔自治区罗布泊附近皆有出产。
罗陈,1.罗列。
罗城,1.城外的大城。
罗池,1.池名。在今广西壮族自治区柳州市。池上有庙﹐祀唐代文学家柳宗元﹐柳曾为柳州刺史。
罗帱,1.罗帷。
罗床,"1.见""罗床""。"
罗带,"1.丝织的衣带。 
2.喻曲折的河流。"
罗丹,1.麞鹿腕骨。用为博具。亦指此种博戏。
罗地,1.一种丝织品的名称。
罗甸,"1.即螺钿。又称螺甸。我国一种传统手工艺品﹐用贝壳或螺蛳壳薄片镶嵌在木器﹑漆器表面﹐做成有彩色光泽的花纹或图形。 
2.古国名。地当在今贵州省中部。"
罗阇,1.古高昌对于糜粥之称。
罗缎,"1.泛指丝质衣料。 
2.一种棉织物。质地厚实﹐表面光泽﹐有明显的横条织纹。"
罗旛,1.宋代新春时戴在头上的装饰物。
罗酆,"1.见""罗酆山""。"
罗酆山,1.道教传说中的山名。传为酆都大帝统领的鬼所◇附会为四川省丰都县的平都山﹐指为冥府所在之地。
罗敷,1.古代美女名。
罗浮,"1.山名。在广东省东江北岸。风景优美﹐为粤中游览胜地。晋葛洪曾在此山修道﹐道教称为""第七洞天""。相传隋赵师雄在此梦遇梅花仙女﹐后多为咏梅典实。"
罗浮春,"1.酒名。 
2.泛指美酒。"
罗浮客,1.指传说中的梅花仙女。
罗浮梦,1.传说隋开皇中﹐赵师雄于罗浮山遇一女郎。与之语﹐则芳香袭人﹐语言清丽﹐遂相饮竟醉﹐及觉﹐乃在大梅树下。见旧题唐柳宗元《龙城录》。因以为咏梅典实。
罗告,1.罗织罪名而告发之。
罗唝曲,1.曲名。又名望夫歌。
罗罟,1.罗网。喻法网。
罗郭,1.外城。
罗锅,"1.驼背。 
2.指拱形。 
3.弯(腰)。"
